head,date,text,イベント,景気,物価,金利,マネーサプライ,貿易収支,雇用,個人消費,介入,要人発言,他通貨,石油,政治,株,債権
NY市場　欧州通貨買われる,2009年1月1日（木）00:05:00,"欧州通貨がジリジリと買われている。ユーロ円は127円台に乗せ、ロンドン市場後半の下げをほぼ消した。ポンド円は133円目前まで買われ、一段高となっている。欧州通貨は対ドルでも買い優勢となっている。

EUR/JPY　127.00　GBP/JPY　132.97",,,,,,,,,,,,,,,
NY市場　ユーロスイスはレンジ　中東情勢、解決の糸口見えず,2009年1月1日（木）00:37:00,"ユーロスイスは1.48台半ばから1.49台前半でレンジ相場を形成。ロンドン市場から売買が交錯しており、方向感を掴みにくい。ユーロスイスは30日、一時1.4750付近まで売り込まれた。その後は下げ渋っているものの、上値では戻り売りに押されている。中東情勢の緊迫化で有事のスイス買いが根強いようだ。イスラエルはパレスチナとの一時停戦案を拒否するなど紛争解決の糸口は依然として見出せていない。

EUR/CHF　1.4882",,,,,,,,,,,,,,,
米週間石油在庫統計　原油在庫は54万バレル増加,2009年1月1日（木）00:41:00,"原油在庫は54万バレル増。
ガソリン在庫は80万バレル増。",,,,,,,,,,,,,,,
NY原油・金　一時39ドル台を回復、在庫統計発表後,2009年1月1日（木）00:46:00,"NY原油先物2月限（WTI）（NY時間10:43）
1バレル＝38.98（-0.05　-0.13%）
NY金先物2月限（COMEX）
1オンス＝861.60（-8.40　-0.97%）",,,,,,,,,,,,,,,
VIX指数が40割れ、不安心理が緩和,2009年1月1日（木）00:53:00,"＊VIX指数　39.98（-1.65)
カッコ内数値は前日比

投資家の不安心理を示すVIX指数は10月2日以来の40割れを記録した。",,,,,,,,,,,,,,,
NY市場　ポンド急反落、ポンドドルは上げ幅消す,2009年1月1日（木）01:02:00,"先ほどからポンドが急反落している。ポンドドルは1.4700付近から1.43台半ばまで急落。ロンドン市場からNY市場にかけての上げ幅を消した。この動きが波及する形でポンド円は急反落。133円台前半から130円台前半まで値を崩している。ユーロポンドは0.95台前半から0.96台後半まで買われた。

GBP/USD　1.4367　GBP/JPY　130.38　EUR/GBP　0.9672",,,,,,,,,,,,,,,
NY市場　ポンド乱高下、ポンドドルで大口売り観測,2009年1月1日（木）01:12:00,"ポンド相場が乱高下の様相を呈している。ポンドドルの大口売りがポンド相場全体に波及した模様。ポンドドルは1.4700付近から1.44割れへと急落。その後、1.45台前半まで買い戻されるなど急反発した。現在は1.44台半ばで推移するなど再び売りが優勢。

GBP/USD　1.4462",,,,,,,,,,,,,,,
NY市場　他金融市場　1時台　株価堅調、雇用指標改善で買い戻し,2009年1月1日（木）01:17:00,"NY株式31日（NY時間11:15）
ダウ平均　　　8739.52（+71.13　+0.84%）
S&P500;　　　　897.92（+7.28　+0.84%）
ナスダック　　　1567.80（+17.10　+1.13%）

CME日経平均先物　9205（大証終比：+455　+5.15%）

出来高（億株）
NYSE　　　　2.26
ナスダック　3.79

欧州株式31日（GMT16:15）
英FT100　 4434.17（+41.49　+0.94%）
独DAX　　4810.20（0.00　0.00%）
仏CAC40　 3217.97（+0.84　+0.03%）

米国債利回り（NY時間11:15）
2年債　 　0.748（+0.023）
10年債　　2.119（+0.066）
30年債　　2.593（+0.038）

各国10年債
ユーロ圏　2.951（+0.002）
英　国　　3.019（-0.070）
カナダ　　2.660（+0.004）
豪　州　　3.992（-0.020）
日　本　　1.174（0.000）

NY原油・金
NY原油先物2月限（WTI）（NY時間11:15）
1バレル＝39.10（+0.07　+0.18%）
NY金先物2月限（COMEX）
1オンス＝862.70（-7.30　-0.84%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,,
NY市場　オセアニア堅調、実需買い観測,2009年1月1日（木）01:28:00,"先ほどからオセアニア通貨が堅調。市場ではロンドンFIXに向けた実需買いを指摘する声があった。豪ドル円は62円台前半から63円台前半まで買われたほか、NZドル円は52円台前半から53円付近まで買われた。

AUD/JPY　63.20　NZD/JPY　52.77",,,,,,,,,,,,,,,
NY市場　ポンド急落後、買い戻し進む,2009年1月1日（木）01:46:00,"ポンドの買い戻しが進んでいる。ポンド円は132円台半ば、ポンドドルは1.4600付近まで買い戻された。ポンドドルは1.4700付近から1.44割れ、ポンド円は133円台前半から130円台前半まで急落するなどポンド相場は一時全面安となっていた。

GBP/USD　1.4606　GBP/JPY　132.49",,,,,,,,,,,,,,,
欧州株　終値,2009年1月1日（木）02:12:00,"欧州株式31日終値
英FT100　 4434.17（+41.49　+0.94%）
独DAX　　4810.20（休場）
仏CAC40　 3217.97（+0.84　+0.03%）

英仏は年末で短縮取引、ドイツ市場は休場",,,,,,,,,,,,,,,
NY市場　他金融市場　2時台 株高で利回り上昇,2009年1月1日（木）02:14:00,"NY株式31日（NY時間12:13）
ダウ平均　　　8767.87（+99.48　+1.17%）
S&P500;　　　　900.70（+10.06　+1.16%）
ナスダック　　　1572.89（+22.19　+1.47%）

CME日経平均先物　9215（大証終比：+465　+5.27%）

出来高（億株）
NYSE　　　　3.13
ナスダック　5.43

欧州株式31日終値
英FT100　 4434.17（+41.49　+0.94%）
独DAX　　4810.20（休場）
仏CAC40　 3217.97（+0.84　+0.03%）

米国債利回り（NY時間12:13）
2年債　 　0.788（+0.063）
10年債　　2.216（+0.163）
30年債　　2.653（+0.099）

各国10年債
ユーロ圏　2.951（+0.002）
英　国　　3.024（-0.065）
カナダ　　2.679（+0.023）
豪　州　　3.992（-0.020）
日　本　　1.174（休場）

NY原油・金
NY原油先物2月限（WTI）（NY時間12:13）
1バレル＝39.67（+0.64　+1.64%）
NY金先物2月限（COMEX）
1オンス＝869.60（-0.40　-0.05%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,,
NY市場　ドル円伸び悩み、取引低調,2009年1月1日（木）02:32:00,"ドル円は90円台後半で伸び悩んでいる。年末で参加者が少なく、取引は閑散としている。1月1日は日米欧など世界中の金融市場が休場となる。取引休止前に様子見が強まっているようだ。

USD/JPY　90.81",,,,,,,,,,,,,,,
