head,date,text,景気,物価,金利,マネーサプライ,,,,,,,,,,
NY市場　ロンドンフィキシングで円売り、ユーロ売り・ポンド買いも,2009年4月1日（水）00:04:00,"ロンドンフィキシングでは事前の思惑どおり円売りが入った。ドル円は98.80付近まで堅調に推移。クロス円も円安の動きとなっている。このほか、ユーロ売り・ポンド買いが目立っている。ユーロポンドは0.92台中盤まで反落しており、この日の上げ幅をほぼ消した。円がらみの動きよりもユーロポンドの反落が目立っている。

USD/JPY 98.72 EUR/GBP 0.9260",,,,,,,,,,,,,,
NY市場　他金融市場　0時台　ダウ平均100ドル高、金融株、資源株に買い,2009年4月1日（水）00:08:00,"NY株式31日（NY時間11:04）
ダウ平均　　　7625.64（+103.62　+1.33%）
S&P500;　　　　797.49（+9.96　+1.22%）
ナスダック　　　1523.82（+22.02　+1.43%）

CME日経平均先物　8335（大証終比：+215　+2.61%）

出来高（億株）
NYSE　　　　3.40
ナスダック　5.65

欧州株式31日（GMT15:04）
英FT100　 3922.22（+159.31　+4.23%）
独DAX　　4073.33（+84.10　+2.11%）
仏CAC40　 2788.21（+68.87　+2.53%）

米国債利回り（NY時間11:04）
2年債　 　0.828（-0.016）
10年債　　2.690（-0.022）
30年債　　3.566（-0.032）

各国10年債
ユーロ圏　2.996（-0.031）
英　国　　3.166（-0.013）
カナダ　　2.794（-0.029）
豪　州　　4.423（-0.037）
日　本　　1.353（+0.014）

NY原油・金
NY原油先物5月限（WTI）（NY時間11:04）
1バレル＝48.01（-0.40　-0.83%）
NY金先物6月限（COMEX）
1オンス＝918.70（+1.00　+0.11%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,
NY市場　ドル円は99円台乗せ、クロス円も堅調、Ｇ20では小競り合い,2009年4月1日（水）00:21:00,"ユーロ安・ポンド高推移を受けてユーロドルは1.32台中盤へ下落、ポンドドルは1.43台中盤まで上昇した。クロス円では、ドル円の堅調推移も相まってポンド円が142円ちょうど付近まで上昇している。ユーロ円もドル円にサポートされてしっかり。本日は米株式市場が堅調に推移していることも円安推移を後押ししている。

フランスがＧ20の声明を巡ってもめている。米英がＧ20の声明の中心を強調的な景気刺激におこうとしているのに対して、欧州側では金融規制の強化を中心に据えるべきとしているため。ラガルド仏財務相がＧ20に出席しない可能性もあるようだ。英BBCニュースが伝えている。ラガルド仏財務相によると、サルコジ仏首相は意向が盛り込まれていないと思ったときは、合意書にサインしない模様。

USD/JPY 98.95 EUR/JPY 131.50 GBP/JPY 141.97 EUR/USD 1.3280 GBP/USD 1.4341",,,,,,,,,,,,,,
NY市場　ロンドンフィキシング通過後も円安、クロス円全面高,2009年4月1日（水）00:36:00,"豪ドル円は68円台後半まで上昇。ロンドンフィキシングでの円売りフローのほか、米株式市場が堅調に推移していることもあって、豪ドル円はこの日の高値を更新中。豪ドル/ドルも高値を維持。NZドル円も56円台中盤まで上昇している。このほかの主要なクロス円も軒並み堅調。フィックス通過後の反動も見られない。

AUD/JPY 68.84 NZD/JPY 56.55",,,,,,,,,,,,,,
NY市場　ユーロドル伸び悩み、目先のサポートは1.32台中盤,2009年4月1日（水）00:49:00,"ユーロドルは1.32台中盤で引き続き上値の重い展開。ロンドンフィキシングにかけてユーロポンドが急落し、ユーロドルも水準を切り下げた。その後、1.33付近まで下げ渋る場面もあったが、対主要通貨でややドル高の動きとなっており、ユーロドルの頭は重い。ただ、ユーロ円の堅調推移はサポート。

EUR/USD 1.3275 EUR/JPY 131.54",,,,,,,,,,,,,,
NY市場　他金融市場　1時台　米株高一巡、原油は前日終値前後でもみ合い,2009年4月1日（水）01:10:00,"NY株式31日（NY時間12:08）
ダウ平均　　　7614.09（+92.07　+1.18%）
S&P500;　　　　797.37（+9.84　+1.21%）
ナスダック　　　1525.04（+23.24　+1.50%）

CME日経平均先物　8370（大証終比：+250　+3.04%）

出来高（億株）
NYSE　　　　4.67
ナスダック　7.89

欧州株式31日（GMT16:08）
英FT100　 3926.14（+163.23　+4.34%）
独DAX　　4084.76（+95.53　+2.39%）
仏CAC40　 2807.34（+88.00　+3.24%）

米国債利回り（NY時間12:08）
2年債　 　0.820（-0.024）
10年債　　2.688（-0.024）
30年債　　3.573（-0.026）

各国10年債
ユーロ圏　2.991（-0.036）
英　国　　3.163（-0.016）
カナダ　　2.790（-0.033）
豪　州　　4.423（-0.037）
日　本　　1.353（+0.014）

NY原油・金
NY原油先物5月限（WTI）（NY時間12:08）
1バレル＝48.20（-0.21　-0.43%）
NY金先物6月限（COMEX）
1オンス＝921.10（+3.40　+0.37%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,
NY市場　午後に入り円安は一巡、ドル円、クロス円は高止まり,2009年4月1日（水）01:18:00,"NY昼過ぎとなり、円安推移も一服。ただ、ドル円やクロス円はこの日の高値圏を維持。週明けから米自動車問題を受けて円高が強まる場面もあったが、GMやクライスラーが再建の道を歩めると思っている市場参加者は少なく、むしろ実際に破たん処理となったときのショックを和らげる機会となったのではないか。GMは11％安で推移。

ラガルド仏財務相の発言が伝えられている。我々は強いドルを必要としている、通貨の不均衡は議論されるべきだが別のサミットを開催する必要も、IMFは今回のサミットで追加資金が幾ら必要か明確にすべき、とした。

USD/JPY 99.04 EUR/JPY 131.40 GBP/JPY 141.90",,,,,,,,,,,,,,
欧州株　終値,2009年4月1日（水）01:32:00,"欧州株式31日終値
英FT100　 3926.14（+163.23　+4.34%）
独DAX　　4084.76（+95.53　+2.39%）
仏CAC40　 2807.34（+88.00　+3.24%）",,,,,,,,,,,,,,
NY市場　ドル円じり高、イベント待たずに100円トライも,2009年4月1日（水）01:54:00,"ドル円は99.30水準で高値更新中。米自動車問題や期末フローを受けて昨日から値動きが荒っぽくなっている。半値戻しの98.87水準を鮮明に超えてくる動き。ただ、99円台にも抵抗は並んでおり、何かきっかけがないと100円トライにはなりにくい可能性も。手掛かりの面で、今週は米ISM非製造業・製造業景況指数、Ｇ20金融サミット、ECB理事会、米雇用統計など目白押し。

USD/JPY 99.31",,,,,,,,,,,,,,
NY市場　他金融市場　2時台　米株、高値更新,2009年4月1日（水）02:11:00,"NY株式31日（NY時間13:06）
ダウ平均　　　7649.30（+127.28　+1.64%）
S&P500;　　　　801.17（+13.64　+1.67%）
ナスダック　　　1536.84（+35.04　+2.27%）

CME日経平均先物　8420（大証終比：+300　+3.65%）

出来高（億株）
NYSE　　　　5.38
ナスダック　9.71

欧州株式31日（GMT17:06）
英FT100　 3926.14（+163.23　+4.34%）
独DAX　　4084.76（+95.53　+2.39%）
仏CAC40　 2807.34（+88.00　+3.24%）

米国債利回り（NY時間13:06）
2年債　 　0.828（-0.016）
10年債　　2.714（+0.002）
30年債　　3.585（-0.014）

各国10年債
ユーロ圏　2.994（-0.032）
英　国　　3.163（-0.016）
カナダ　　2.793（-0.030）
豪　州　　4.423（-0.037）
日　本　　1.353（+0.014）

NY原油・金
NY原油先物5月限（WTI）（NY時間13:06）
1バレル＝48.49（+0.08　+0.17%）
NY金先物6月限（COMEX）
1オンス＝922.00（+4.30　+0.47%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,
