head,date,text,景気,物価,金利,マネーサプライ,貿易収支,雇用,個人消費,介入,要人発言,他通貨,石油,政治,株,債権
本日の予定【経済指標】,2009年6月1日（月）07:18:00,"【オーストラリア】
小売売上高（4月）10:30
予想　0.5%　前回　2.2%（前月比）

【ユーロ圏】
＊ドイツ製造業PMI・確報値（購買担当者指数）（5月）16:55
予想　39.1　前回　39.1

＊ユーロ圏製造業PMI・確報値（購買担当者指数）（5月）17:00
予想　40.5　前回　40.5

【イギリス】
＊CIPS製造業PMI（購買担当者指数）（5月）17:30
予想　44.0　前回　42.9

【香港】
＊小売売上高（4月）17:30
予想　-6.5%　前回　-7.7%（価額ベース・前年比）
予想　-7.2%　前回　-9.3%（数量ベース・前年比）

【アメリカ】
＊PCEコアデフレータ（4月）21:30
予想　0.2%　前回　0.2%（前月比）
予想　1.9%　前回　1.8%（前年比）

＊PCEデフレータ（4月）21:30
予想　0.4%　前回　0.6%（前年比）

＊個人支出（4月）21:30
予想　-0.2%　前回　-0.2%（前月比）

＊個人所得（4月）21:30
予想　-0.2%　前回　-0.3%（前月比）

＊ISM製造業景気指数（5月）23:00
予想　42.0　前回　40.1

＊建設支出（4月）23:00
予想　-1.5%　前回　0.3%（前月比）

【カナダ】
＊GDP（3月）21:30
予想　-0.3%　前回　-0.1%（前月比）

＊GDP（第1四半期）21:30
予想　-6.5%　前回　-3.4%（前期比年率）

＊鉱工業製品価格（4月）21:30
予想　0.1%　前回　0.3%（前月比）

＊原材料価格指数（4月）21:30
予想　6.5%　前回　12.1%（前月比）",,,,,,,,,,,,,,
本日の予定【発言・イベント】,2009年6月1日（月）07:26:00,"ニュージーランドは女王誕生日で休場
ガイトナー米財務長官　訪中（2日まで）

米ゼネラル・モーターズ（GM）　労組や債権者との合意期限",,,,,,,,,,,,,,
東京市場　GM、チャプター11申請へ,2009年6月1日（月）07:36:00,"早朝の東京市場でドル円は95.20水準で推移。30日、オバマ米大統領はGMの再建について「（法的整理で誕生するGMに）政府が過半を出資する」と述べたほか、WSJもGMは現地時間午前8時にチャプター11を申請すると報道した。ただ、今回の結果に対してサプライズは無く、早朝のマーケットに動揺は見られない。クロス円も先週末のNYクローズを引き継いで始まっている。

USD/JPY 95.19",,,,,,,,,,,,,,
東京市場　ピボット分析（主要国通貨）,2009年6月1日（月）08:00:00,"東京時間6:00現在

ドル円
終値95.34　高値97.02　安値95.06

98.51　ハイブレイク
97.77　抵抗2
96.55　抵抗1
95.81　ピボット
94.59　支持1
93.85　支持2
92.63　ローブレイク

ユーロドル
終値1.4158　高値1.4169　安値1.3926

1.4486　ハイブレイク
1.4327　抵抗2
1.4243　抵抗1
1.4084　ピボット
1.4000　支持1
1.3841　支持2
1.3757　ローブレイク

ポンドドル
終値1.6190　高値1.6198　安値1.5918

1.6566　ハイブレイク
1.6382　抵抗2
1.6286　抵抗1
1.6102　ピボット
1.6006　支持1
1.5822　支持2
1.5726　ローブレイク

ドルスイス
終値1.0669　高値1.0860　安値1.0657

1.1003　ハイブレイク
1.0932　抵抗2
1.0800　抵抗1
1.0729　ピボット
1.0597　支持1
1.0526　支持2
1.0394　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（資源国通貨）,2009年6月1日（月）08:01:00,"東京時間6:00現在

オージードル
終値0.8011　高値0.8016　安値0.7830

0.8261　ハイブレイク
0.8138　抵抗2
0.8075　抵抗1
0.7952　ピボット
0.7889　支持1
0.7766　支持2
0.7703　ローブレイク

キーウィドル
終値0.6405　高値0.6415　安値0.6227

0.6659　ハイブレイク
0.6537　抵抗2
0.6471　抵抗1
0.6349　ピボット
0.6283　支持1
0.6161　支持2
0.6095　ローブレイク

ドルカナダ
終値1.0915　高値1.1159　安値1.0892

1.1352　ハイブレイク
1.1256　抵抗2
1.1085　抵抗1
1.0989　ピボット
1.0818　支持1
1.0722　支持2
1.0551　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（クロス円）,2009年6月1日（月）08:02:00,"東京時間6:00現在

ユーロ円
終値134.96　高値135.70　安値134.26

137.13　ハイブレイク
136.41　抵抗2
135.69　抵抗1
134.97　ピボット
134.25　支持1
133.53　支持2
132.81　ローブレイク

ポンド円
終値154.34　高値155.75　安値153.28

158.10　ハイブレイク
156.93　抵抗2
155.63　抵抗1
154.46　ピボット
153.16　支持1
151.99　支持2
150.69　ローブレイク

スイス円
終値89.30　高値89.71　安値88.91

90.50　ハイブレイク
90.11　抵抗2
89.70　抵抗1
89.31　ピボット
88.90　支持1
88.51　支持2
88.10　ローブレイク

豪ドル円
終値76.35　高値76.91　安値75.68

78.18　ハイブレイク
77.54　抵抗2
76.95　抵抗1
76.31　ピボット
75.72　支持1
75.08　支持2
74.49　ローブレイク

NZドル円
終値61.03　高値61.38　安値60.13

62.81　ハイブレイク
62.10　抵抗2
61.56　抵抗1
60.85　ピボット
60.31　支持1
59.60　支持2
59.06　ローブレイク

カナダドル円
終値87.43　高値87.66　安値86.52

89.03　ハイブレイク
88.34　抵抗2
87.89　抵抗1
87.20　ピボット
86.75　支持1
86.06　支持2
85.61　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（新興国通貨）,2009年6月1日（月）08:03:00,"東京時間6:00現在

ランド円
終値12.01　高値12.18　安値11.87

12.48　ハイブレイク
12.33　抵抗2
12.17　抵抗1
12.02　ピボット
11.86　支持1
11.71　支持2
11.55　ローブレイク

シンガポールドル円
終値66.02　高値66.94　安値65.83

67.81　ハイブレイク
67.37　抵抗2
66.70　抵抗1
66.26　ピボット
65.59　支持1
65.15　支持2
64.48　ローブレイク

香港ドル円
終値12.30　高値12.51　安値12.26

12.70　ハイブレイク
12.61　抵抗2
12.45　抵抗1
12.36　ピボット
12.20　支持1
12.11　支持2
11.95　ローブレイク",,,,,,,,,,,,,,
IMM通貨先物　5月26日付　資源国通貨買い・ドル売り,2009年6月1日（月）08:19:00,"カナダドル	11,532枚の買い越し  6,107枚の買い越し増
豪ドル		32,469枚の買い越し  3,174枚の買い越し増
NZドル		12,532枚の買い越し  5,713枚の買い越し増

各通貨でドル売りポジションが増加。豪ドルは4週連続、NZドルでは8週連続でネットロングが増えた。",,,,,,,,,,,,,,
IMM通貨先物　5月26日付　主要国通貨　ドル売り増加,2009年6月1日（月）08:19:00,"円		8,009枚の買い越し  2,009枚の買い越し増
ユーロ		15,584枚の買い越し  3,334枚の買い越し増
ポンド		24,805枚の売り越し  1,123枚の売り越し減
スイス		6,674枚の買い越し  2,065枚の買い越し増

ポンドはネットショートのままだが、全体的にドル売りポジションが増加。ユーロのネットロングは4週連続で増加した。",,,,,,,,,,,,,,
東京市場　流れはドル安、この後は豪小売売上高発表,2009年6月1日（月）08:30:00,"早朝のユーロドルは1.41台序盤で推移。先週末の海外市場では、NY株式市場も引け近くに買いが入ったほか、原油でもリスク選好の動きが続き、外為市場でもドル売りとなった。ユーロドルは1.41台後半まで、ポンドドルは1.61台後半までドル安推移。ドル円は95円ちょうど付近まで下落。円売りではなく、ドル売りが主体だったことで、クロス円は方向感つかず。
本日の東京市場では豪小売売上高が発表される。海外市場では米ISM製造業景況指数などが発表される。GMは日本時間の1日21:00に破産法を申請すると報道されているほか、記者会見も行われる予定。

EUR/USD 1.4112 GBP/USD 1.6179",,,,,,,,,,,,,,
